chip,channel,pad_x,pad_y
0,0,16,0
0,1,17,0
0,2,14,0
0,3,15,0
0,4,12,0
0,5,13,0
0,6,10,0
0,7,11,0
0,8,8,0
0,9,9,0
0,10,6,0
0,11,7,0
0,12,4,0
0,13,5,0
0,14,2,0
0,15,3,0
0,16,16,1
0,17,17,1
0,18,14,1
0,19,15,1
0,20,12,1
0,21,13,1
0,22,10,1
0,23,11,1
0,24,8,1
0,25,9,1
0,26,6,1
0,27,7,1
0,28,4,1
0,29,5,1
0,30,2,1
0,31,3,1
0,32,18,2
0,33,19,2
0,34,16,2
0,35,17,2
0,36,14,2
0,37,15,2
0,38,12,2
0,39,13,2
0,40,10,2
0,41,11,2
0,42,8,2
0,43,9,2
0,44,6,2
0,45,7,2
0,46,4,2
0,47,5,2
0,48,2,2
0,49,3,2
0,50,0,2
0,51,1,2
0,52,18,3
0,53,19,3
0,54,16,3
0,55,17,3
0,56,14,3
0,57,15,3
0,58,12,3
0,59,13,3
0,60,10,3
0,61,11,3
0,62,8,3
0,63,9,3
0,64,6,3
0,65,7,3
0,66,4,3
0,67,5,3
0,68,2,3
0,69,3,3
0,70,0,3
0,71,1,3
0,72,18,4
0,73,19,4
0,74,16,4
0,75,17,4
0,76,14,4
0,77,15,4
0,78,6,4
0,79,13,4
0,80,4,4
0,81,5,4
0,82,2,4
0,83,3,4
0,84,0,4
0,85,1,4
0,86,18,5
0,87,19,5
0,88,16,5
0,89,17,5
0,90,4,5
0,91,15,5
0,92,2,5
0,93,3,5
0,94,0,5
0,95,1,5
0,96,18,6
0,97,19,6
0,98,16,6
0,99,17,6
0,100,2,6
0,101,3,6
0,102,0,6
0,103,1,6
0,104,18,7
0,105,19,7
0,106,16,7
0,107,17,7
0,108,2,7
0,109,3,7
0,110,0,7
0,111,1,7
0,112,18,8
0,113,19,8
0,114,16,8
0,115,17,8
0,116,2,8
0,117,3,8
0,118,0,8
0,119,1,8
0,120,18,9
0,121,19,9
0,122,16,9
0,123,17,9
0,124,2,9
0,125,3,9
0,126,0,9
0,127,1,9
1,0,12,4
1,1,11,4
1,2,10,4
1,3,9,4
1,4,8,4
1,5,7,4
1,6,14,5
1,7,13,5
1,8,12,5
1,9,11,5
1,10,10,5
1,11,9,5
1,12,8,5
1,13,7,5
1,14,6,5
1,15,5,5
1,16,15,6
1,17,14,6
1,18,13,6
1,19,12,6
1,20,11,6
1,21,10,6
1,22,9,6
1,23,8,6
1,24,7,6
1,25,6,6
1,26,5,6
1,27,4,6
1,28,15,7
1,29,14,7
1,30,13,7
1,31,12,7
1,32,11,7
1,33,10,7
1,34,9,7
1,35,8,7
1,36,7,7
1,37,6,7
1,38,5,7
1,39,4,7
1,40,15,8
1,41,14,8
1,42,13,8
1,43,12,8
1,44,11,8
1,45,10,8
1,46,9,8
1,47,8,8
1,48,7,8
1,49,6,8
1,50,5,8
1,51,4,8
1,52,15,9
1,53,14,9
1,54,13,9
1,55,12,9
1,56,11,9
1,57,10,9
1,58,9,9
1,59,8,9
1,60,7,9
1,61,6,9
1,62,5,9
1,63,4,9
1,64,4,10
1,65,5,10
1,66,6,10
1,67,7,10
1,68,8,10
1,69,9,10
1,70,10,10
1,71,11,10
1,72,12,10
1,73,13,10
1,74,14,10
1,75,15,10
1,76,4,11
1,77,5,11
1,78,6,11
1,79,7,11
1,80,8,11
1,81,9,11
1,82,10,11
1,83,11,11
1,84,12,11
1,85,13,11
1,86,14,11
1,87,15,11
1,88,4,12
1,89,5,12
1,90,6,12
1,91,7,12
1,92,8,12
1,93,9,12
1,94,10,12
1,95,11,12
1,96,12,12
1,97,13,12
1,98,14,12
1,99,15,12
1,100,4,13
1,101,5,13
1,102,6,13
1,103,7,13
1,104,8,13
1,105,9,13
1,106,10,13
1,107,11,13
1,108,12,13
1,109,13,13
1,110,14,13
1,111,15,13
1,112,5,14
1,113,6,14
1,114,7,14
1,115,8,14
1,116,9,14
1,117,10,14
1,118,11,14
1,119,12,14
1,120,13,14
1,121,14,14
1,122,7,15
1,123,8,15
1,124,9,15
1,125,10,15
1,126,11,15
1,127,12,15
2,0,0,10
2,1,1,10
2,2,2,10
2,3,3,10
2,4,16,10
2,5,17,10
2,6,18,10
2,7,19,10
2,8,0,11
2,9,1,11
2,10,2,11
2,11,3,11
2,12,16,11
2,13,17,11
2,14,18,11
2,15,19,11
2,16,0,12
2,17,1,12
2,18,2,12
2,19,3,12
2,20,16,12
2,21,17,12
2,22,18,12
2,23,19,12
2,24,0,13
2,25,1,13
2,26,2,13
2,27,3,13
2,28,16,13
2,29,17,13
2,30,18,13
2,31,19,13
2,32,0,14
2,33,1,14
2,34,2,14
2,35,3,14
2,36,4,14
2,37,15,14
2,38,16,14
2,39,17,14
2,40,18,14
2,41,19,14
2,42,0,15
2,43,1,15
2,44,2,15
2,45,3,15
2,46,4,15
2,47,5,15
2,48,6,15
2,49,13,15
2,50,14,15
2,51,15,15
2,52,16,15
2,53,17,15
2,54,18,15
2,55,19,15
2,56,0,16
2,57,1,16
2,58,2,16
2,59,3,16
2,60,4,16
2,61,5,16
2,62,6,16
2,63,7,16
2,64,8,16
2,65,9,16
2,66,10,16
2,67,11,16
2,68,12,16
2,69,13,16
2,70,14,16
2,71,15,16
2,72,16,16
2,73,17,16
2,74,18,16
2,75,19,16
2,76,0,17
2,77,1,17
2,78,2,17
2,79,3,17
2,80,4,17
2,81,5,17
2,82,6,17
2,83,7,17
2,84,8,17
2,85,9,17
2,86,10,17
2,87,11,17
2,88,12,17
2,89,13,17
2,90,14,17
2,91,15,17
2,92,16,17
2,93,17,17
2,94,18,17
2,95,19,17
2,96,2,18
2,97,3,18
2,98,4,18
2,99,5,18
2,100,6,18
2,101,7,18
2,102,8,18
2,103,9,18
2,104,10,18
2,105,11,18
2,106,12,18
2,107,13,18
2,108,14,18
2,109,15,18
2,110,16,18
2,111,17,18
2,112,2,19
2,113,3,19
2,114,4,19
2,115,5,19
2,116,6,19
2,117,7,19
2,118,8,19
2,119,9,19
2,120,10,19
2,121,11,19
2,122,12,19
2,123,13,19
2,124,14,19
2,125,15,19
2,126,16,19
2,127,17,19
